,highlights,paraphrased_highlights
907,"Associations of Changes in Serum Inflammatory Factors, MMP-3, 25(OH)D and Intestinal Flora with Osteoporosis and Disease Activity in Rheumatoid Arthritis Patients.","Associations of changes in serum inflammation factors, MMP-3, 25(OH)D and intestinal florea with osteoporosis and disease activity in rheumatoid arthritis patients."
908,Paediatric Bickerstaff brainstem encephalitis: A rare case report.,Paediatric Bickerstaff brainstem encephalitis: A rare case report
909,Large leiomyoma of lower esophagus diagnosed by endoscopic ultrasonography-fine needle aspiration: A case report.,A small leiomyoma of the lower esophagus diagnosed by endoscopic ultrasonography-fine needle aspiration: A case report
910,Lumevis ™: a new medical device to prepare patients for esophagogastroduodenoscopy. Experimental clinical study.,Lumevis TM: a new medical device to prepare patients for esophagogastroduodenoscopy.
911,Alterations in Heart Rate Variability Associated With Irritable Bowel Syndrome or Inflammatory Bowel Disease: A Systematic Review and Meta-Analysis.,Alterations in Heart Rate Variability Associated With Irritable Bowel Syndrome or Inflammatory Bowel Disease: A Systematic Review and Meta-Analysis
912,Helicobacter pylori and Upper Endoscopy in Systemic Sclerosis: A Cross-sectional Study in the Real World.,Helicobacter pylori and Upper Endoscopy in Systemic Sclerosis : a cross-sectional study in the real world
913,"Chest pain and palpitations in postmenopausal women with mitral valve prolapse, is there a gastroesophageal origin?","Chest pain and palpitations in postmenopausal women with mitral valve prolapse, is there a gastroesophageal origin?"
914,Management of Leak after Single Anastomosis Duodeno-Ileal Bypass with Sleeve Gastrectomy.,Leak management after single anastomosis - Duodeno-ileal bypass with Sleeve Gastrectomy
915,A novel laparoscopic near-infrared fluorescence spectrum system for photodynamic diagnosis of peritoneal dissemination in pancreatic cancer.,A novel laparoscopic near infrared fluorescence spectrum system for the photodynamic diagnosis of peritoneal dissemination in pancreatic cancer.
916,A case report of endoscopic resection for the treatment of duodenal Brunner's gland adenoma with upper gastrointestinal bleeding.,A case report of endoscopic resection for the treatment of duodenal Brunner's adenoma with upper gastrointestinal bleeding.
917,Hepatic Steatosis Is Associated with Elevated Serum Iron in Patients with Obesity and Improves after Laparoscopic Sleeve Gastrectomy.,"In patients with obesity, hepatic steatosis is correlated with elevated serum iron and improves after laparoscopic Sleeve Gastrectomy."
918,Ecological momentary assessment of gastrointestinal symptoms and risky eating behaviors in Roux-en-Y gastric bypass and sleeve gastrectomy patients.,Ecological momentary assessment of gastro-intestinal symptoms and risky eating behaviors in Roux-En-Y patients with gastric bypass and sleeve gastrectomy.
919,The use of nonsteroidal anti-inflammatory drugs after sleeve gastrectomy.,The use of nonsteroidal anti-inflammatory drugs after sleeve gastrectomy
920,Colonic Mucosa-associated Lymphoid Tissue Lymphoma Treated by Radiation Therapy: Report of a Case and Literature Review.,Colonic mucosa-associated lymphoma of the lymphoid tissue treated by radiation therapy: a case report and literature review
921,Gastric Schwannoma in an elderly man: A case report.,A case report on gastric schwannoma in an elderly man
922,"Primary anorectal malignant melanoma: A clinical, radiology and pathology correlation.","Primary anorectal malignant melanoma: a clinical, radiology and pathology correlation"
923,Coronavirus Disease (COVID-19) Caused by (SARS-CoV-2) Infections: A Real Challenge for Human Gut Microbiota.,Coronavirus disease (COVID-19) caused by (SARS-CoV-2) infections: A real challenge for the human intestine microbiota.
924,Six-Week Exercise Training With Dietary Restriction Improves Central Hemodynamics Associated With Altered Gut Microbiota in Adolescents With Obesity.,Six-week exercise training with diet restricted improves the central hemodynamics associated with altered gut microbiota in adolescents with obesity.
925,Leucine and Sildenafil Combination Therapy Reduces Body Weight and Metformin Enhances the Effect at Low Dose: A Randomized Controlled Trial.,Leucine and Sildenafil Combination Therapy Reduces Body Weight and Metformin Enhances the Effect at Low Dose: A Randomized Controlled Trial
926,Acute Respiratory Failure From Hypermagnesemia Requiring Prolonged Mechanical Ventilation.,Acute respiratory failure from hypermagnesemia requiring prolonged mechanical ventilation.
927,Hypertension Among Hemorrhagic Stroke Patients in Northeast China: A Population-Based Study 2017-2019.,Hypertension among patients with hemorrhagic stroke in Northeast China: A population-based study 2017-2019.
928,Clinical Implementation of Dual-Energy CT for Gastrointestinal Imaging.,Clinical implementation of the dual-energy - CT for gastrointestinal imaging.
929,Tubercular fistula in ano.,Tubercular fistula in ano.
930,Immunomodulatory treatment in postural tachycardia syndrome: A case series.,"In postural tachycardia syndrome, immunomodulatory treatment is a case series"
931,Constipation in the elderly. A physiologic study.,Constipation in the elderly : A physiologic study
932,Extra-gastrointestinal stromal tumor presenting as a huge peritoneal mass and mimicking as mesothelioma - A case report.,Extra-intestinal stromal tumor presenting as a huge peritoneal mass and mimicking as mesothelioma - A case report.
933,Primary gastric melanoma in a young woman: A case report.,Primary genital Melanoma in a young woman: A case report.
934,Status epilepticus as an initial manifestation of hepatic encephalopathy: A case report.,Status epilepticus as an initial manifestation of hepatic encephalopathy: case report.
935,Primary duodenal tuberculosis misdiagnosed as tumor by imaging examination: A case report.,Primary duodenal tuberculosis misdiagnosed by imaging as a tumor : a case report
936,Multidisciplinary Approach for Weight Regain-how to Manage this Challenging Condition: an Expert Review.,An Expert Review of the Multidisciplinary Approach for Weight Regain-how to Manage this challenging condition.
937,Paratubal endosalpingiosis: a case report.,Paratubal endosalpingiosis: a case report.
938,Prediction of Esophageal Varices in Chronic Liver Disease by Liver Stiffness-Spleen Size-to-Plalelet Ratio Risk Score.,Prediction of esophageal variations in chronic liver disease with the risk score of liver stiffness-spleen size-to-plunk ratio.
939,Is hand grip strength a necessary supportive index in the phenotypic criteria of the GLIM-based diagnosis of malnutrition in patients with cancer?,Is hand grip strength a necessary supportive index in the phenotypic criteria of the GLIM-based diagnosis of malnutrition in cancer patients?
940,"Role of Gastrointestinal Hormones as a Predictive Factor for Long-Term Diabetes Remission: Randomized Trial Comparing Metabolic Gastric Bypass, Sleeve Gastrectomy, and Greater Curvature Plication.","Role of gastrointestinal hormones as a predictor for long-term diabetes remission : randomized trial to compare Metabolic gastric bypass, Sleeve Gastrectomy and Greater Curvature"
941,Nonmotor symptoms in 32 patients with Parkinson disease.,Nonmotor symptoms in 32 patients with Parkinson - Disease.
942,"A cross-talk between gut microbiome, salt and hypertension.","A cross-talk between the gut microbiome, salt and hypertension."
943,"Role of Primary Use of Mega Stents Alone and Combined with Other Endoscopic Procedures for Early Leak and Stenosis After Bariatric Surgery, Single-Institution Experience.","The role of primary use of megastents alone and paired with other endoscopic procedures for a rapid leak and stenose after bariatric surgery, single-institution experience."
944,Modulation of the Gut Microbiota and Serum Biomarkers After Laparoscopic Sleeve Gastrectomy: a 1-Year Follow-Up Study.,Modulation of the intestinal microbiota and serum biomarkers after laparoscopic surgical abdominal gastrectomy: a 1-year follow-up study
945,Prediction of Long-Term Diabetes Remission After Metabolic Surgery in Obese East Asian Patients: a Comparison Between ABCD and IMS Scores.,Prediction of Long-Term Diabetes Remission After Metabolic Surgery in Obese East Asian patients: a Comparison Between ABCD and IMS Scores
946,Nomograms for Predicting Non-remission in Patients Who Underwent Bariatric Surgery: A Multicenter Retrospective Study in China.,Nomograms for predicting non-remission in patients who underwent bariatric surgery : A multicenter retrospective study in China
947,Metabolic Effects of Endoscopic Duodenal Mucosal Resurfacing: a Systematic Review and Meta-analysis.,Metabolic effects of endoscopic duodenal musculosal resurfacing : a systematic review and metaanalysis.
948,Patterns of Weight Loss Medication Utilization and Outcomes Following Bariatric Surgery.,After weight loss with medication usage and outcomes.
